image,image_path,confidence,calm,compressed,disorienting,energetic,excluding,exploratory,inviting,legible,open
frame_000000.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000000.jpg,0.056904669234238425,0.004596486893708061,0.002472004969764384,0.004558601665911919,0.006441831844550325,0.006886205374632846,0.004146410866874794,0.0073198870072657875,0.004307955096714431,0.005398450479018356
frame_000001.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000001.jpg,0.05844138733708926,0.005266342425176572,0.002746949476768623,0.004163070530713229,0.006836982712678582,0.006146890778659872,0.002392438855757427,0.006573174331250994,0.00346618151740986,0.006263134377770985
frame_000002.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000002.jpg,0.04187727637469807,0.004549044848066205,0.0027224387436167487,0.0033686765408356225,0.00527729542242796,0.003421223965575336,0.0022480763464987827,0.004210077644371267,0.0029524565746474763,0.004239803832300458
frame_000003.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000003.jpg,0.043534248372341655,0.004567800881646508,0.0021943051918085986,0.0035479859219913123,0.005241308614512126,0.003705112111895869,0.0018658723424920026,0.004273196791946429,0.0032003235896803746,0.0047706565915892505
frame_000004.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000004.jpg,0.06929704304991768,0.004901321628720598,0.0031879322063744432,0.0037325151376060607,0.005458219616945644,0.005404515930416165,0.002443314396592177,0.00467223203174417,0.004074784634144089,0.006442357796866236
frame_000005.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000005.jpg,0.06181370347891857,0.004965458474587468,0.003409474638177744,0.003708520046120611,0.006642074074680568,0.006362260595653788,0.003256274814580684,0.006257007387432532,0.0036557315150042994,0.0065861041992997344
frame_000006.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000006.jpg,0.03937809864216779,0.003666037306347789,0.0019187338463694686,0.0020517219372095494,0.0053255789988596,0.0036959664258058183,0.0021500823191359813,0.004438094565887149,0.002968263337310782,0.005604454965100012
frame_000007.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000007.jpg,0.043900291713935835,0.004422825903363901,0.0019493418615325934,0.002467083857322905,0.005892178581699044,0.00514362525881843,0.002203905640467929,0.004340180394058188,0.00360630145398718,0.005494006605499089
frame_000008.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000008.jpg,0.02783157067997366,0.00412333002755736,0.0015033101157598595,0.002289875036115063,0.004779399756976818,0.00392901688850834,0.0014663055601275116,0.002913349570189893,0.0030311514278342656,0.00397050497622331
frame_000009.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000009.jpg,0.07528501024439815,0.005793394781568714,0.00345104264502861,0.00437321342310297,0.006096953457801464,0.006673298765691469,0.002940847158321413,0.006550376109501485,0.004568125843382949,0.00763784923877447
frame_000010.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000010.jpg,0.049173133414634695,0.005249925454637924,0.002829268436508391,0.0035402008112744624,0.005564695304093312,0.005145515225916096,0.0021899338410235943,0.005029705774938884,0.0034355266340293385,0.006438132759057589
frame_000011.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000011.jpg,0.05710491326907219,0.005542441766293268,0.0023659445315686754,0.0038651041238517794,0.006981889760203193,0.004951984331904169,0.002129454424780852,0.005788534577909741,0.004039403990258869,0.007148618553722918
frame_000012.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000012.jpg,0.04188676989005036,0.005119720899970889,0.0023599484227432186,0.0029745710851973852,0.006133210676210728,0.003818812574120966,0.00214544683914537,0.005603750507509541,0.002797178010836797,0.005351578858819994
frame_000013.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000013.jpg,0.033687268682277005,0.004755917360624425,0.001734602248991723,0.0029390647325006286,0.00519390663279737,0.004359615500600921,0.00158115420998256,0.004139322002463996,0.003122605804268096,0.004233516802203485
